iteration,chain,pA,pB,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
1501,1,0.006154712889535172,0.10557992894567843,-15.016618505716561,3.0,1.0,0.9912878194045239,-15.016618505716561,15.650995481495606,-0.007475767351930784,-0.2764763000277526,2.0,0.0,1.1011718230836205,1.1011718230836205
1502,1,0.021183042759959702,0.12525537357301467,-14.917260566312866,3.0,1.0,0.9371014824923108,-14.917260566312866,15.724980966709678,-0.026059189073322386,0.14308946129031241,2.0,0.0,1.1011718230836205,1.1011718230836205
1503,1,0.008713332752005767,0.1205228711965109,-14.883327917697395,3.0,1.0,0.940536070086659,-14.883327917697395,15.580220423106192,0.018407700101171542,0.17453492333822318,2.0,0.0,1.1011718230836205,1.1011718230836205
1504,1,0.02191973850321896,0.11804126682204956,-14.193312876010683,3.0,1.0,0.9399908229952896,-14.193312876010683,14.97223172286478,-0.2521112612862382,-0.2521112612862382,2.0,0.0,1.1011718230836205,1.1011718230836205
1505,1,0.020248401709399736,0.09532700225234064,-15.241925346869355,3.0,1.0,0.8041628602571294,-15.241925346869355,15.547121972651144,0.30975528305141964,0.30975528305141964,2.0,0.0,1.1011718230836205,1.1011718230836205
1506,1,0.020480579529439453,0.11659492344585702,-14.085624306789462,3.0,1.0,0.9470367427149506,-14.085624306789462,15.464563034780252,-0.33296552859972905,-0.33296552859972905,2.0,0.0,1.1011718230836205,1.1011718230836205
1507,1,0.02139699825036122,0.12194665689684596,-14.527494837106154,1.0,1.0,0.8757539652096712,-14.527494837106154,14.535773258828621,0.13267008912755607,0.13267008912755607,1.0,0.0,1.1011718230836205,1.1011718230836205
1508,1,0.02025407649711783,0.10888981280272204,-13.935336193150054,3.0,1.0,0.9260281003281087,-13.935336193150054,14.906811843684158,-0.1507160095079545,0.2509204046528506,2.0,0.0,1.1011718230836205,1.1011718230836205
1509,1,0.04549924993953579,0.11037275325147033,-15.037560973396864,3.0,1.0,0.8050013014641041,-15.037560973396864,15.05198870767746,0.47689973791726636,0.47689973791726636,2.0,0.0,1.1011718230836205,1.1011718230836205
1510,1,0.006753675984341843,0.11310354243751533,-14.772515819921818,3.0,1.0,1.0,-14.772515819921818,15.709724405973658,-0.25897369374076895,-0.25897369374076895,2.0,0.0,1.1011718230836205,1.1011718230836205
1511,1,0.01840341693572067,0.11667309151186654,-14.085869690714901,3.0,1.0,0.8930245766643622,-14.085869690714901,14.983557744131945,-0.20098340643412627,0.3870255711725594,2.0,0.0,1.1011718230836205,1.1011718230836205
1512,1,0.01168718057436897,0.10863739118191618,-14.155060006370359,3.0,1.0,0.9785791277759269,-14.155060006370359,14.334066891771887,0.021828731502266052,0.04322294156739481,2.0,0.0,1.1011718230836205,1.1011718230836205
